Serial,Name,Type,Alignments,SP,RP,Fast RP,Text
100001,Dark Prowler,Monster,"Beast, Dark",125,2,-,(While you control no other monsters) This card’s original SP is doubled.
100002,Scout Goblin,Monster,"Beast, Goblin",150,3,-,"(Optional: Sacrifice this card) Once a turn, look at cards in an opponents hand equal to the number of “Scout Goblin” you control. If you sacrificed this card, you may discard 1 of those cards."
100003,Desert Longshooter,Monster,"Earth, Rogue, Warrior",200,4,-,(Once a turn) You can destroy 1 support on the board.
100004,"Krieg, the Steel Opera",Monster,"Flying, Mech",380,7,-,"(Once a turn, sacrifice other cards in hand and/or on the board) Destroy the same number of cards in that opponents hand and/or board."
100005,Bomb Wizard,Monster,"Fire, Magical",50,1,-,"1• (During the Combat Stage, you can Destroy this card) Destroy a support card on the board. 2• (Once a turn, you can destroy this card) An opponent loses 50HP."
100006,Maus Isle Merchants,Monster,"Beast, Earth, Trader",150,2,-,Lore: The merry merchants of Maus isle! Port-goers respect them and their Crowe Ilse Colleagues with great admiration for their fair prices and interesting variety of items for sale.
100007,Mudola the Dark Shaman,Monster,"Dark, Magical",100,2,-,(Pay 100HP and send this card to the Grave) Revive a monster with 100SP or less.
100008,Eternal Guide of the Desert,Monster,"Earth, Magical",230,4,-,"Lore: Rumour has it, this wanderer has trekked through the Mortcalor Deserts for centuries."
100009,Wandering Merc,Monster,"Rogue, Warrior",200,3,-,"Lore: ”Another day in sunny Vistaria. If I have to fall in battle, I’d like it to be on fields like these”"
100010,Avian Scout,Monster,"Avian Warrior, Flying, Wind",70,1,-,"(When this card is destroyed in combat) You can search 1 “Avian Soldier” and if you control no monsters, summon it."
100011,Avian Soldier,Monster,"Avian Warrior, Flying, Wind",140,2,-,"(When this card is Destroyed in combat) You can Search 1 “Avian Commander” and if you control no monsters, summon it."
100012,Avian Commander,Monster,"Avian Warrior, Flying, Wind",230,5,-,"1• (If you control no other monsters) Once a turn, you can Revive 1 “Avian Scout” and/or 1 “Avian Soldier”. 2• (If you control only [Avian Warrior] monsters) [Avian Warrior] monsters gain 70SP."
100013,"Captain Walker, Vigilante on the Waves",Monster,"Dark, Spirit, Water",300,6,-,"(Can only control 1 “Captain Walker, Vigilante on the Waves”) Monsters this card attacks have their SP Halved. Lore: The Dreadstorm, Captain Walker’s  ship is a fearful sight for unscrupulous sailors. Rumour has it, Walker himself has sailed it over 300 years."
100014,Fire Lord Great Phoenix,Monster,"Fire, Flying, Warrior",400,7,-,"1• While this card is on the board, other [Fire] monsters gain 50SP. 2• (Once a turn, you can destroy another [Fire] monster you control) Revive this card, it loses 100SP"
